buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
460,4,18.423676676032095,0.0790080566450099,0.9982905982905983,0.46153846153846156
400,2,18.425331334277153,0.07892727229733519,0.9983079526226735,0.47058823529411764
240,1,18.436466781494673,0.07905657900074799,0.9983164983164983,0.5126050420168067
260,2,18.43724426541584,0.07869594959407654,0.9983079526226735,0.5462184873949579
490,2,18.438239469251787,0.07925035820599126,0.9983079526226735,0.42857142857142855
380,1,18.440003954320566,0.07945118373038865,0.9983164983164983,0.4789915966386555
300,5,18.440332670576517,0.07912099939090768,0.9982817869415808,0.5213675213675214
290,4,18.444861511849126,0.07897554725290998,0.9982905982905983,0.5555555555555556
450,2,18.44710164720662,0.07927957448978365,0.9983079526226735,0.453781512605042
470,2,18.452345961757114,0.07904192323209083,0.9983079526226735,0.42016806722689076
480,3,18.452797091490904,0.07939274576368768,0.9982993197278912,0.4661016949152542
350,3,18.46259318576785,0.07928039774776277,0.9982993197278912,0.5
430,3,18.465706339776556,0.07972743663804245,0.9982993197278912,0.4745762711864407
470,3,18.47594974918527,0.0794069810340751,0.9982993197278912,0.4491525423728814
270,4,18.47677989956137,0.07943356005690526,0.9982905982905983,0.48717948717948717
450,3,18.491417968778673,0.07962924822755724,0.9982993197278912,0.4745762711864407
220,1,18.491766262240144,0.07946589243209054,0.9983164983164983,0.46218487394957986
400,3,18.496161331215625,0.07986375739293596,0.9982993197278912,0.4830508474576271
430,4,18.50395712201618,0.07985660873300125,0.9982905982905983,0.47863247863247865
260,3,18.50473519327699,0.07928848202762138,0.9982993197278912,0.5254237288135594
250,3,18.515022794674238,0.07883426958610823,0.9982993197278912,0.5
240,2,18.523707933513702,0.0794242870691515,0.9983079526226735,0.47058823529411764
400,4,18.529587746294276,0.08002064402825396,0.9982905982905983,0.4700854700854701
330,4,18.53090311977669,0.08018453703002995,0.9982905982905983,0.5042735042735043
250,4,18.535153914856423,0.07884702264325401,0.9982905982905983,0.5213675213675214
490,3,18.541635506640787,0.07995696691607053,0.9982993197278912,0.4661016949152542
310,5,18.547790248167665,0.07943750058694712,0.9982817869415808,0.5470085470085471
