buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
450,32,0.0005,4,21.276091336951744,0.9983164983164983,0.5537190082644629
300,8,0.0001,2,75.75928055693744,0.9225589225589226,0.5454545454545454
300,16,0.0001,2,258.9395836580344,0.9225589225589226,0.5491803278688525
250,8,0.0001,2,552.1989928926412,0.9225589225589226,0.5491803278688525
250,16,0.0001,2,1181.5684989078466,0.9225589225589226,0.5454545454545454
200,8,0.0001,2,1590.9895093587845,0.9225589225589226,0.5916666666666667
200,16,0.0001,2,2589.467340784389,0.9225589225589226,0.5882352941176471
150,8,0.0001,2,2862.94813645388,0.8417508417508418,0.5328467153284672
150,16,0.0001,2,3935.6971953566313,0.8417508417508418,0.5666666666666667
100,8,0.0001,2,4139.940913329684,0.7609427609427609,0.48739495798319327
100,16,0.0001,2,5271.8672519687825,0.7609427609427609,0.48739495798319327
