long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
38,18,13,2.3406710863074793,54,1.0008024727098974,4.333352633446515
38,13,18,2.3406710863074793,54,1.0008024727098974,4.333352633446515
26,15,21,2.340345277770484,53,1.00082251153346,4.359311127337974
26,21,15,2.340345277770484,53,1.00082251153346,4.359311127337974
19,14,15,2.340062574881205,70,1.0007054475835837,4.9381330850863225
19,15,14,2.340062574881205,70,1.0007054475835837,4.9381330850863225
15,14,19,2.340062574881205,70,1.0007054475835837,4.9381330850863225
43,12,18,2.3400192792462273,54,1.000796894107859,4.303228182439015
43,18,12,2.3400192792462273,54,1.000796894107859,4.303228182439015
17,16,14,2.3399775996231846,69,1.0007229045186439,4.988041178643506
16,14,17,2.3399775996231846,69,1.0007229045186439,4.988041178643506
17,14,16,2.3399775996231846,69,1.0007229045186439,4.988041178643506
43,16,13,2.3391282634702324,54,1.0008044464301298,4.344010722700901
43,13,16,2.3391282634702324,54,1.0008044464301298,4.344010722700901
23,15,24,2.3384060056014295,53,1.0008268205216435,4.382148764710072
24,15,23,2.3384060056014295,53,1.0008268205216435,4.382148764710072
24,23,15,2.3384060056014295,53,1.0008268205216435,4.382148764710072
40,11,21,2.3379514036200115,54,1.0007989384523064,4.314267642454876
40,21,11,2.3379514036200115,54,1.0007989384523064,4.314267642454876
42,12,18,2.337657300501167,54,1.0008002177409823,4.321175801303587
42,18,12,2.337657300501167,54,1.0008002177409823,4.321175801303587
30,12,24,2.3353289498767436,53,1.0008099231112682,4.292592489721305
30,24,12,2.3353289498767436,53,1.0008099231112682,4.292592489721305
38,14,16,2.3351363433781125,54,1.0008176787358602,4.415465173645612
38,16,14,2.3351363433781125,54,1.0008176787358602,4.415465173645612
43,14,15,2.3351164795841353,54,1.0008020364554369,4.330996859358786
43,15,14,2.3351164795841353,54,1.0008020364554369,4.330996859358786
44,13,16,2.3351164795841353,54,1.0008020364554369,4.330996859358786
44,16,13,2.3351164795841353,54,1.0008020364554369,4.330996859358786
44,19,10,2.334709414226682,56,1.0008023113446705,4.49294353015492
44,10,19,2.334709414226682,56,1.0008023113446705,4.49294353015492
39,13,18,2.3338337866219185,54,1.0007966737266853,4.30203812410133
39,18,13,2.3338337866219185,54,1.0007966737266853,4.30203812410133
33,24,11,2.333126820927157,54,1.0008011595335027,4.3262614809142255
33,11,24,2.333126820927157,54,1.0008011595335027,4.3262614809142255
39,19,12,2.332560366857053,54,1.000800391410703,4.32211361779734
39,12,19,2.332560366857053,54,1.000800391410703,4.32211361779734
34,19,13,2.330508193545906,54,1.0008125522685607,4.387782250228607
34,13,19,2.330508193545906,54,1.0008125522685607,4.387782250228607
32,20,13,2.3303652084360307,54,1.0008133417905156,4.392045668783489
32,13,20,2.3303652084360307,54,1.0008133417905156,4.392045668783489
39,16,13,2.330218270866709,55,1.0008071220240016,4.439171132008541
39,13,16,2.330218270866709,55,1.0008071220240016,4.439171132008541
