buffer,window,rmse,mape,directional_accuracy_thr,directional_accuracy_quantile
220,4,11.527669674127647,0.11793034051030742,1.0,0.5833333333333334
250,4,11.535039932377051,0.11691420844002372,1.0,0.4722222222222222
290,5,11.540032759746262,0.11726346558206509,1.0,0.5142857142857142
290,6,11.543713164052338,0.11707879979950724,1.0,0.5428571428571428
270,3,11.54975929468704,0.1202244932214926,1.0,0.5
420,3,11.55207804572798,0.11866011899550379,1.0,0.5833333333333334
390,3,11.571825306357612,0.11863238753134177,1.0,0.5555555555555556
260,5,11.574500172882967,0.1178063270532786,1.0,0.4
280,4,11.57917018592772,0.11657499814264886,1.0,0.4444444444444444
260,6,11.589536734055839,0.11720066170452495,1.0,0.42857142857142855
220,5,11.594516052015468,0.11979127583810956,1.0,0.5428571428571428
330,3,11.605670418971581,0.11892016656813728,1.0,0.5555555555555556
160,1,11.610227722508215,0.1170275760396613,1.0,0.47368421052631576
250,5,11.616163469782858,0.1183533605403557,1.0,0.4857142857142857
190,6,11.628998535060889,0.11846144735830548,1.0,0.6
310,4,11.646533142409297,0.11712354372348086,1.0,0.5
350,4,11.648837307688495,0.11722561703955414,1.0,0.5
320,4,11.671265798091188,0.11775913675300312,1.0,0.4166666666666667
280,5,11.672377576858747,0.1184182312735545,1.0,0.5142857142857142
280,6,11.673343616472627,0.11763967036594555,1.0,0.4857142857142857
180,2,11.696133251258246,0.11783012250464615,1.0,0.5135135135135135
250,6,11.700183004897873,0.11795285428940262,1.0,0.5142857142857142
290,7,11.700894289969332,0.118421395835762,1.0,0.5294117647058824
300,4,11.705970452444134,0.11904108230021844,1.0,0.5277777777777778
360,4,11.712200179299352,0.11892202481907532,1.0,0.4722222222222222
230,4,11.71512111786866,0.11866840455286903,1.0,0.4722222222222222
220,6,11.715668902197617,0.11963349165132321,1.0,0.5142857142857142
270,4,11.721592417817467,0.12121672625398314,1.0,0.3888888888888889
240,3,11.724841148880545,0.12377999023320398,1.0,0.5
260,7,11.727251924342937,0.1180119453708266,1.0,0.4117647058823529
420,4,11.731572921380657,0.11954750720260346,1.0,0.4722222222222222
210,3,11.735394912629884,0.12358200764143355,1.0,0.5833333333333334
310,6,11.74811047290422,0.11847983243930635,1.0,0.45714285714285713
310,5,11.75555753885854,0.11942342394881952,1.0,0.4857142857142857
340,4,11.755757052458813,0.11764673328028043,1.0,0.5
350,5,11.758441927149951,0.1193194156608483,1.0,0.5714285714285714
390,4,11.764466184507192,0.11965782045802408,1.0,0.4722222222222222
140,1,11.765638719816865,0.12000778047892313,1.0,0.42105263157894735
350,6,11.768242455594683,0.11909219220715231,1.0,0.4857142857142857
320,6,11.777940715106409,0.11948330619260554,1.0,0.45714285714285713
330,4,11.781281767534589,0.11973877311113139,1.0,0.5277777777777778
320,5,11.783290250830955,0.11976298966253537,1.0,0.42857142857142855
230,5,11.791890692496123,0.12061413318736709,1.0,0.45714285714285713
200,4,11.792986743471596,0.12045045077435823,1.0,0.5277777777777778
290,8,11.799352041998693,0.12091089702803352,1.0,0.48484848484848486
410,4,11.805230817971943,0.11920005308447375,1.0,0.4444444444444444
300,5,11.810185756474718,0.12019597631956148,1.0,0.45714285714285713
370,4,11.810868190344515,0.11957582646964474,1.0,0.4444444444444444
300,6,11.816571614692835,0.11973612011809505,1.0,0.45714285714285713
360,5,11.817381236060502,0.12037867875985178,1.0,0.4
380,4,11.81818880956824,0.11949879845669159,1.0,0.4166666666666667
270,5,11.821829102904825,0.12265811402835272,1.0,0.4
400,4,11.824643156467692,0.11974530038926211,1.0,0.3888888888888889
430,4,11.826509764941644,0.11965920409906143,1.0,0.4444444444444444
360,6,11.827888147832283,0.12008225859783483,1.0,0.37142857142857144
230,6,11.831093696842434,0.12112651573702748,1.0,0.4857142857142857
280,8,11.831370363300255,0.12202989253910151,1.0,0.45454545454545453
260,8,11.832220845840384,0.12042176391551694,1.0,0.45454545454545453
280,7,11.839034209426867,0.11889161739799803,1.0,0.4411764705882353
420,6,11.840939833912222,0.12051307433252581,1.0,0.34285714285714286
210,4,11.841625505528265,0.123604483336123,1.0,0.5277777777777778
420,5,11.84175588279708,0.12117835697417412,1.0,0.4
270,6,11.845664060281097,0.12230314863144395,1.0,0.37142857142857144
150,1,11.85211963425436,0.12053730140829415,1.0,0.47368421052631576
250,8,11.856200088140998,0.12222892461217193,1.0,0.5151515151515151
160,2,11.862040841724099,0.1188310646581108,1.0,0.4864864864864865
340,5,11.865344917713502,0.12005959259933435,1.0,0.4857142857142857
390,5,11.87090540855177,0.12117190837353557,1.0,0.42857142857142855
390,6,11.873099869126765,0.12045709336405365,1.0,0.37142857142857144
250,7,11.88124211937752,0.11925013681310243,1.0,0.47058823529411764
310,8,11.892472444285707,0.12241884768064859,1.0,0.45454545454545453
310,7,11.893012485190571,0.11976538077122269,1.0,0.4117647058823529
340,6,11.894306535873183,0.11976699174935596,1.0,0.4857142857142857
330,5,11.899912368599374,0.12100233908376797,1.0,0.4857142857142857
170,2,11.906886873684691,0.11985839491594917,1.0,0.5135135135135135
410,5,11.910717356211519,0.12122670955954139,1.0,0.45714285714285713
330,6,11.9117540750587,0.12066460765542694,1.0,0.42857142857142855
240,4,11.924069059075313,0.12463867070265798,1.0,0.4722222222222222
