<DATE>	<TIME>	<CLOSE>
2025.03.02	08:05:00	85956.84375
2025.03.02	08:10:00	85813.359375
2025.03.02	08:15:00	85746.546875
2025.03.02	08:20:00	85803.984375
2025.03.02	08:25:00	85818.046875
2025.03.02	08:30:00	85729.2734375
2025.03.02	08:35:00	85739.71875
2025.03.02	08:40:00	85733.03125
2025.03.02	08:45:00	85838.0859375
2025.03.02	08:50:00	85883.5859375
2025.03.02	08:55:00	85747.6796875
2025.03.02	09:00:00	85687.28125
2025.03.02	09:05:00	85769.1640625
2025.03.02	09:10:00	85816.671875
2025.03.02	09:15:00	85870.921875
2025.03.02	09:20:00	85816.7734375
2025.03.02	09:25:00	85817.2890625
2025.03.02	09:30:00	85963.7578125
2025.03.02	09:35:00	85906.3203125
2025.03.02	09:40:00	85999.203125
2025.03.02	09:45:00	85972.328125
2025.03.02	09:50:00	85980.4609375
2025.03.02	09:55:00	85966.28125
2025.03.02	10:00:00	85848.1875
2025.03.02	10:05:00	85842.71875
2025.03.02	10:10:00	85783.8359375
2025.03.02	10:15:00	85796.7265625
2025.03.02	10:20:00	85780.1796875
2025.03.02	10:25:00	85805.8828125
2025.03.02	10:30:00	85878.4765625
2025.03.02	10:35:00	85836.1015625
2025.03.02	10:40:00	85812.21875
2025.03.02	10:45:00	85850.890625
2025.03.02	10:50:00	85929.2890625
2025.03.02	10:55:00	85953.0546875
2025.03.02	11:00:00	85954.609375
2025.03.02	11:05:00	85974.6640625
2025.03.02	11:10:00	86007.8515625
2025.03.02	11:15:00	85970.5390625
2025.03.02	11:20:00	85982.8125
2025.03.02	11:25:00	85970.6796875
2025.03.02	11:30:00	86139.484375
2025.03.02	11:35:00	86099.2578125
2025.03.02	11:40:00	86100.8984375
2025.03.02	11:45:00	86062.671875
2025.03.02	11:50:00	86054.3515625
2025.03.02	11:55:00	86088.3046875
2025.03.02	12:00:00	85978.03125
2025.03.02	12:05:00	85931.734375
2025.03.02	12:10:00	85810.296875
2025.03.02	12:15:00	85773.3828125
2025.03.02	12:20:00	85794.59375
2025.03.02	12:25:00	85846.5703125
2025.03.02	12:30:00	85823.0
2025.03.02	12:35:00	85798.2734375
2025.03.02	12:40:00	85797.9453125
2025.03.02	12:45:00	85849.4921875
2025.03.02	12:50:00	85931.328125
2025.03.02	12:55:00	85935.671875
2025.03.02	13:00:00	85893.015625
2025.03.02	13:05:00	85898.1640625
2025.03.02	13:10:00	85868.15625
2025.03.02	13:15:00	85750.4375
2025.03.02	13:20:00	85669.1328125
2025.03.02	13:25:00	85647.3984375
2025.03.02	13:30:00	85557.4765625
2025.03.02	13:35:00	85591.9296875
2025.03.02	13:40:00	85662.5078125
2025.03.02	13:45:00	85632.5234375
2025.03.02	13:50:00	85592.640625
2025.03.02	13:55:00	85609.3125
2025.03.02	14:00:00	85793.8671875
2025.03.02	14:05:00	85580.90625
2025.03.02	14:10:00	85582.984375
2025.03.02	14:15:00	85150.6640625
2025.03.02	14:20:00	85305.8046875
2025.03.02	14:25:00	85416.453125
2025.03.02	14:30:00	85553.09375
2025.03.02	14:35:00	85305.328125
2025.03.02	14:40:00	85177.8984375
2025.03.02	14:45:00	85091.453125
2025.03.02	14:50:00	85223.71875
2025.03.02	14:55:00	85058.875
2025.03.02	15:00:00	85079.203125
2025.03.02	15:05:00	85221.7421875
2025.03.02	15:10:00	85180.765625
2025.03.02	15:15:00	85210.8828125
2025.03.02	15:20:00	85136.484375
2025.03.02	15:25:00	86338.484375
2025.03.02	15:30:00	87201.6640625
2025.03.02	15:35:00	88301.2109375
2025.03.02	15:40:00	88115.4375
2025.03.02	15:45:00	87584.46875
2025.03.02	15:50:00	87431.9375
2025.03.02	15:55:00	87533.5859375
2025.03.02	16:00:00	87885.71875
2025.03.02	16:05:00	87654.609375
2025.03.02	16:10:00	88088.96875
2025.03.02	16:15:00	89166.9609375
2025.03.02	16:20:00	88864.4140625
2025.03.02	16:25:00	89080.9765625
2025.03.02	16:30:00	89480.203125
2025.03.02	16:35:00	90634.1328125
2025.03.02	16:40:00	91720.7421875
2025.03.02	16:45:00	91415.0703125
2025.03.02	16:50:00	91648.4140625
2025.03.02	16:55:00	91515.8515625
2025.03.02	17:00:00	90746.5234375
2025.03.02	17:05:00	91530.015625
2025.03.02	17:10:00	91758.5625
2025.03.02	17:15:00	92227.703125
2025.03.02	17:20:00	92828.2734375
2025.03.02	17:25:00	92686.640625
2025.03.02	17:30:00	93145.15625
2025.03.02	17:35:00	93760.7578125
2025.03.02	17:40:00	94399.3828125
2025.03.02	17:45:00	94584.765625
2025.03.02	17:50:00	93881.1484375
2025.03.02	17:55:00	94013.328125
2025.03.02	18:00:00	93947.8828125
2025.03.02	18:05:00	93817.859375
2025.03.02	18:10:00	93599.171875
2025.03.02	18:15:00	93620.7421875
2025.03.02	18:20:00	93726.671875
2025.03.02	18:25:00	93604.0859375
2025.03.02	18:30:00	93230.609375
2025.03.02	18:35:00	92646.703125
2025.03.02	18:40:00	92431.09375
2025.03.02	18:45:00	92842.5546875
2025.03.02	18:50:00	92632.1796875
2025.03.02	18:55:00	92928.203125
2025.03.02	19:00:00	92781.2109375
2025.03.02	19:05:00	92973.8828125
2025.03.02	19:10:00	92788.59375
2025.03.02	19:15:00	93168.53125
2025.03.02	19:20:00	93104.9921875
2025.03.02	19:25:00	93144.6796875
2025.03.02	19:30:00	93222.015625
2025.03.02	19:35:00	93417.15625
2025.03.02	19:40:00	93315.9296875
2025.03.02	19:45:00	93476.875
2025.03.02	19:50:00	93548.0625
2025.03.02	19:55:00	93525.1015625
2025.03.02	20:00:00	93841.3046875
2025.03.02	20:05:00	93773.7421875
2025.03.02	20:10:00	93855.1015625
2025.03.02	20:15:00	93886.9375
2025.03.02	20:20:00	94139.28125
2025.03.02	20:25:00	94042.9765625
2025.03.02	20:30:00	93918.5625
2025.03.02	20:35:00	93699.7265625
2025.03.02	20:40:00	94135.5859375
2025.03.02	20:45:00	94138.546875
2025.03.02	20:50:00	94301.0546875
2025.03.02	20:55:00	94421.734375
2025.03.02	21:00:00	94305.3671875
2025.03.02	21:05:00	94028.5703125
2025.03.02	21:10:00	94142.3046875
2025.03.02	21:15:00	94293.5078125
2025.03.02	21:20:00	94156.9921875
2025.03.02	21:25:00	94126.9609375
2025.03.02	21:30:00	93919.2578125
2025.03.02	21:35:00	93726.53125
2025.03.02	21:40:00	93993.3046875
2025.03.02	21:45:00	93833.25
2025.03.02	21:50:00	93913.71875
2025.03.02	21:55:00	94161.7890625
2025.03.02	22:00:00	93982.328125
2025.03.02	22:05:00	94116.7265625
2025.03.02	22:10:00	94301.125
2025.03.02	22:15:00	94156.7421875
2025.03.02	22:20:00	94230.4609375
2025.03.02	22:25:00	94332.0703125
2025.03.02	22:30:00	94172.96875
2025.03.02	22:35:00	94196.8125
2025.03.02	22:40:00	94251.140625
2025.03.02	22:45:00	94338.6796875
2025.03.02	22:50:00	94311.4375
2025.03.02	22:55:00	94450.453125
2025.03.02	23:00:00	94757.9609375
2025.03.02	23:05:00	94737.3046875
2025.03.02	23:10:00	94704.6484375
2025.03.02	23:15:00	94775.0859375
2025.03.02	23:20:00	94654.09375
2025.03.02	23:25:00	94277.0390625
2025.03.02	23:30:00	94028.3984375
2025.03.02	23:35:00	94305.453125
2025.03.02	23:40:00	94379.6796875
2025.03.02	23:45:00	94228.046875
2025.03.02	23:50:00	94359.796875
2025.03.02	23:55:00	94247.1171875
2025.03.03	00:00:00	94059.5625
2025.03.03	00:05:00	93705.84375
2025.03.03	00:10:00	93704.859375
2025.03.03	00:15:00	93805.71875
2025.03.03	00:20:00	93695.9140625
2025.03.03	00:25:00	93719.921875
2025.03.03	00:30:00	93656.6484375
2025.03.03	00:35:00	93417.0
2025.03.03	00:40:00	93639.125
2025.03.03	00:45:00	93545.6640625
2025.03.03	00:50:00	93635.515625
2025.03.03	00:55:00	93371.1328125
2025.03.03	01:00:00	93301.296875
2025.03.03	01:05:00	93140.46875
2025.03.03	01:10:00	92884.375
2025.03.03	01:15:00	92675.1796875
